# Rime user dictionary
#@/db_name	jyutping.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1656
#@/user_id	yongli-macbookpro
aa 	呀	c=6 d=0.724768 t=1656
hong muk 	項目	c=1 d=0.0566989 t=1656
hou 	好	c=3 d=0.496035 t=1656
hou baa 	好吧	c=2 d=0.0363948 t=1656
hou dik 	好的	c=4 d=1.27501 t=1656
hou ge 	好嘅	c=1 d=0.105928 t=1656
hou noi 	好耐	c=0 d=0.0932394 t=1656
hou noi m gin 	好耐唔見	c=1 d=0.937067 t=1656
hou si 	好事	c=1 d=0.00276698 t=1656
hou siu 	好笑	c=1 d=0.0211736 t=1656
hou zoeng 	好像	c=3 d=0.158721 t=1656
hung haa 	紅霞	c=1 d=0.353455 t=1656
hung jan 	紅人	c=1 d=0.0237541 t=1656
hung zai juk 	控制慾	c=1 d=0.0170774 t=1656
jaa 	也	c=15 d=0.535424 t=1656
jaa si 	也是	c=2 d=0.084438 t=1656
jai 	拽	c=1 d=0.666977 t=1656
jam 	任	c=1 d=0.00255424 t=1656
jam biu 	音標	c=1 d=0.29523 t=1656
jam ho 	任何	c=1 d=0.00117675 t=1656
jam ho si 	任何事	c=1 d=0.00118265 t=1656
jam jap 	飲泣	c=1 d=0.00177315 t=1656
jam nei 	任你	c=1 d=0.00256704 t=1656
jan 	人	c=7 d=0.122205 t=1656
jan ci 	因此	c=1 d=0.410656 t=1656
jan cong 	隱藏	c=1 d=0.00078095 t=1656
jan ding 	認定	c=1 d=0.0122773 t=1656
jan dou 	引導	c=1 d=0.000593188 t=1656
jan jau 	引誘	c=1 d=0.00109172 t=1656
jan jyun 	恩怨	c=1 d=0.00477195 t=1656
jan sik 	認識	c=1 d=0.0137736 t=1656
jan soeng 	欣賞	c=2 d=0.960819 t=1656
jan tung 	忍痛	c=1 d=0.00414854 t=1656
jan wai 	因爲	c=1 d=0.382893 t=1656
jan zoeng 	印象	c=1 d=0.634448 t=1656
jap 	入	c=0 d=0.022091 t=1656
jap mun 	入門	c=1 d=0.00697795 t=1656
jap zik 	入職	c=1 d=0.0185924 t=1656
jat 	一	c=5 d=0.0508993 t=1656
jat 	日	c=2 d=1.15135 t=1656
jat baak 	一百	c=1 d=0.211189 t=1656
jat bun 	一般	c=3 d=0.0339798 t=1656
jat ci 	一次	c=1 d=0.0953692 t=1656
jat deoi 	一對	c=1 d=0.594521 t=1656
jat dim 	一點	c=1 d=0.000652304 t=1656
jat ding 	一定	c=1 d=0.0347353 t=1656
jat dip 	一碟	c=1 d=0.349938 t=1656
jat doi 	一袋	c=1 d=0.860708 t=1656
jat faan 	一番	c=2 d=0.00238851 t=1656
jat go 	一個	c=10 d=2.49511 t=1656
jat haa 	一下	c=2 d=0.348445 t=1656
jat hei 	一起	c=4 d=0.0632514 t=1656
jat maan 	一晚	c=1 d=0.209088 t=1656
jat sang jat sai 	一生一世	c=1 d=0.0023344 t=1656
jat sau 	一首	c=1 d=0.123687 t=1656
jat se 	一些	c=1 d=0.00680566 t=1656
jat siu sat 	一消失	c=1 d=0.00160441 t=1656
jat tin 	一天	c=1 d=0.00235786 t=1656
jat tong 	一趟	c=1 d=0.163654 t=1656
jat wui 	一會	c=1 d=0.158817 t=1656
jat zau 	一週	c=1 d=0.00346515 t=1656
jat zik 	一直	c=1 d=0.0065062 t=1656
jat zou 	一早	c=1 d=0.0049667 t=1656
jau 	有	c=13 d=1.59783 t=1656
jau 	由	c=1 d=0.436049 t=1656
jau am 	幽暗	c=1 d=0.00166156 t=1656
jau ceoi 	有趣	c=1 d=0.0209629 t=1656
jau dim 	有點	c=1 d=0.0110536 t=1656
jau gin 	又見	c=1 d=0.551563 t=1656
jau haau 	有效	c=1 d=0.491644 t=1656
jau kau 	有求	c=2 d=0.0165007 t=1656
jau mut jau 	有沒有	c=1 d=0.00618889 t=1656
jau waat 	油滑	c=1 d=0.509156 t=1656
jau zoi 	又在	c=2 d=0.000926407 t=1656
je 	嘢	c=1 d=0.0812682 t=1656
je caan 	野餐	c=1 d=0.71177 t=1656
je sing 	野性	c=1 d=0.00152616 t=1656
ji 	二	c=1 d=0.0100518 t=1656
ji 	以	c=1 d=0.000633025 t=1656
ji 	而	c=2 d=0.497548 t=1656
ji bin fung 	耳邊風	c=1 d=0.000845993 t=1656
ji dung 	移動	c=2 d=0.0169009 t=1656
ji ging 	已經	c=5 d=0.866503 t=1656
ji hau 	以後	c=1 d=0.160414 t=1656
ji ji 	意義	c=1 d=0.0131675 t=1656
ji laai 	依賴	c=2 d=0.799055 t=1656
ji nin kap 	二年級	c=1 d=0.0232837 t=1656
ji sik 	意識	c=1 d=0.102284 t=1656
ji tou 	意圖	c=1 d=0.0132999 t=1656
ji wai 	以爲	c=1 d=0.000466618 t=1656
ji zi 	意指	c=1 d=0.0134335 t=1656
jik 	亦	c=3 d=0.278222 t=1656
jim 	嫌	c=1 d=0.00516939 t=1656
jim wu 	染污	c=1 d=0.00307331 t=1656
jin gau 	研究	c=2 d=0.0873072 t=1656
jin zoi 	現在	c=1 d=0.0536647 t=1656
jing 	應	c=1 d=0.00214418 t=1656
jing faa 	櫻花	c=1 d=0.00479587 t=1656
jing goi 	應該	c=4 d=1.09217 t=1656
jing gwok 	英國	c=1 d=0.000510561 t=1656
jing hoeng 	影響	c=1 d=0.302704 t=1656
jing jau 	應有	c=1 d=0.00436124 t=1656
jip 	葉	c=1 d=0.286505 t=1656
jip man 	葉問	c=1 d=0.287941 t=1656
jit 	咽	c=1 d=0.25924 t=1656
jiu 	繞	c=2 d=0.00684422 t=1656
jiu 	要	c=8 d=1.84046 t=1656
jiu bat jiu 	要不要	c=1 d=0.161218 t=1656
jiu jin 	謠言	c=1 d=0.00161245 t=1656
jiu jyun 	遙遠	c=1 d=0.00509243 t=1656
jiu kau 	要求	c=2 d=0.041575 t=1656
jiu sai 	腰細	c=1 d=1 t=1621
jiu wai 	腰圍	c=1 d=1 t=1624
joek 	藥	c=2 d=0.0258789 t=1656
joeng nei 	讓你	c=1 d=0.208045 t=1656
jung 	用	c=1 d=0.380983 t=1656
jung bat dou 	用不到	c=1 d=0.00798652 t=1656
jung hei 	勇氣	c=4 d=0.00438005 t=1656
jung jau 	擁有	c=3 d=0.36578 t=1656
jung naap 	容納	c=2 d=0.00235803 t=1656
jung pou 	擁抱	c=0 d=0.000249118 t=1656
jyu 	於	c=1 d=0.398519 t=1656
jyu 	與	c=4 d=0.759374 t=1656
jyu 	雨	c=2 d=0.283978 t=1656
jyu ci 	如此	c=1 d=0.198891 t=1656
jyu faai 	愉快	c=1 d=0.718924 t=1656
jyu gwo 	如果	c=1 d=0.00814786 t=1656
jyu hei 	語氣	c=1 d=0.0096577 t=1656
jyu ho 	如何	c=2 d=0.113595 t=1656
jyu jin 	語言	c=1 d=0.000567086 t=1656
jyu joek 	如若	c=1 d=0.00223168 t=1656
jyu lung 	愚弄	c=1 d=0.000833397 t=1656
jyu syun 	預算	c=1 d=0.00465413 t=1656
jyun 	完	c=1 d=0.375311 t=1656
jyun 	遠	c=1 d=0.00111936 t=1656
jyun cyun 	完全	c=1 d=0.000389752 t=1656
